model,accuracy,precision,recall,f1,method
tfidf_GaussianNB,0.6863354037267081,0.6764705882352942,0.7142857142857143,0.6948640483383686,notnorm_tfidf
tfidf_LogReg,0.7080745341614907,0.7310344827586207,0.6583850931677019,0.6928104575163399,notnorm_tfidf
tfidf_LinearSVC,0.7391304347826086,0.7483870967741936,0.7204968944099379,0.7341772151898734,notnorm_tfidf
tfidf_DecisionTree,0.6832298136645962,0.6787878787878788,0.6956521739130435,0.6871165644171779,notnorm_tfidf
tfidf_GaussianNB,0.6614906832298136,0.6625,0.6583850931677019,0.660436137071651,norm_tfidf
tfidf_LogReg,0.7142857142857143,0.7346938775510204,0.6708074534161491,0.7012987012987013,norm_tfidf
tfidf_LinearSVC,0.7670807453416149,0.7756410256410257,0.7515527950310559,0.7634069400630915,norm_tfidf
tfidf_DecisionTree,0.6739130434782609,0.6728395061728395,0.6770186335403726,0.6749226006191951,norm_tfidf
