model,accuracy,precision,recall,f1,method
tfidf_GaussianNB,0.729064039408867,0.6606217616580311,0.9421182266009852,0.7766497461928934,notnorm_tfidf
tfidf_LogReg,0.8011083743842364,0.7672131147540984,0.8645320197044335,0.8129704690214244,notnorm_tfidf
tfidf_LinearSVC,0.8140394088669951,0.793778801843318,0.8485221674876847,0.8202380952380952,notnorm_tfidf
tfidf_DecisionTree,0.7481527093596059,0.7478474784747847,0.7487684729064039,0.7483076923076923,notnorm_tfidf
tfidf_GaussianNB,0.7155172413793104,0.6632462686567164,0.875615763546798,0.7547770700636943,norm_tfidf
tfidf_LogReg,0.7758620689655172,0.753393665158371,0.8201970443349754,0.785377358490566,norm_tfidf
tfidf_LinearSVC,0.7857142857142857,0.7761904761904762,0.8029556650246306,0.7893462469733656,norm_tfidf
tfidf_DecisionTree,0.7272167487684729,0.7274969173859432,0.7266009852216748,0.7270486752926679,norm_tfidf
