model,accuracy,precision,recall,f1
small_GaussianNB,0.5745341614906833,0.5566037735849056,0.7329192546583851,0.6327077747989276
small_LogReg,0.5900621118012422,0.5923566878980892,0.577639751552795,0.5849056603773585
small_LinearSVC,0.5993788819875776,0.6081081081081081,0.5590062111801242,0.5825242718446602
small_DecisionTree,0.5900621118012422,0.5900621118012422,0.5900621118012422,0.5900621118012422
big_GaussianNB,0.5496894409937888,0.551948051948052,0.5279503105590062,0.5396825396825397
big_LogReg,0.577639751552795,0.5796178343949044,0.5652173913043478,0.5723270440251572
big_LinearSVC,0.6149068322981367,0.6312056737588653,0.5527950310559007,0.5894039735099338
big_DecisionTree,0.5683229813664596,0.5753424657534246,0.5217391304347826,0.5472312703583062
