term,score
published,0.04193788836688028
dispute,0.03335946483577274
board,0.02867330321631824
railway,0.02866185320422273
labor,0.02716539070692858
war,0.023874862822622023
railway labor,0.02174609113277996
follows,0.021507295432800756
functions,0.020154907363870243
transferred,0.019734590479080674
regulations,0.019018830678817874
feet,0.01767881569171726
date,0.01733716636545667
employees,0.01719081182785316
authorized,0.01681934812797348
powers,0.01680608122149635
respect,0.015950577724978477
made,0.015757762082127185
entitled,0.015462870021770408
chief,0.015166829198112793
necessary,0.015154176410638692
effective,0.014676632150774941
within,0.01410562438839832
property,0.01410278230168376
transportation,0.014091183300200113
